channel_id	contact_id	sampling_frequency	units	channel_name	file_origin	connector_id	connector_pin_id	nev_dig_factor	nb_sorted_units	nsx	hi_pass_freq	lo_pass_freq	hi_pass_order	lo_pass_order	filter_type	electrode_reject_HFC	electrode_reject_LFC	electrode_reject_IFC	connector_aligned_ids	coordinates_x	coordinates_y	channel_type
38	38.0	30000	uV	chan38	../../../sourcedata/l101210-001.ns5	2	6	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	64.0	1.2	2.4	extracellular neuronal recordings
39	39.0	30000	uV	chan39	../../../sourcedata/l101210-001.ns5	2	7	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	53.0	0.8	2.0	extracellular neuronal recordings
40	40.0	30000	uV	chan40	../../../sourcedata/l101210-001.ns5	2	8	1000	3	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	54.0	1.2	2.0	extracellular neuronal recordings
41	41.0	30000	uV	chan41	../../../sourcedata/l101210-001.ns5	2	9	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	43.0	0.8	1.6	extracellular neuronal recordings
42	42.0	30000	uV	chan42	../../../sourcedata/l101210-001.ns5	2	10	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	55.0	1.6	2.0	extracellular neuronal recordings
43	43.0	30000	uV	chan43	../../../sourcedata/l101210-001.ns5	2	11	1000	0	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	44.0	1.2	1.6	extracellular neuronal recordings
44	44.0	30000	uV	chan44	../../../sourcedata/l101210-001.ns5	2	12	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	45.0	1.6	1.6	extracellular neuronal recordings
45	45.0	30000	uV	chan45	../../../sourcedata/l101210-001.ns5	2	13	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	33.0	0.8	1.2	extracellular neuronal recordings
46	46.0	30000	uV	chan46	../../../sourcedata/l101210-001.ns5	2	14	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	46.0	2.0	1.6	extracellular neuronal recordings
47	47.0	30000	uV	chan47	../../../sourcedata/l101210-001.ns5	2	15	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	34.0	1.2	1.2	extracellular neuronal recordings
48	48.0	30000	uV	chan48	../../../sourcedata/l101210-001.ns5	2	16	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	65.0	1.6	2.4	extracellular neuronal recordings
49	49.0	30000	uV	chan49	../../../sourcedata/l101210-001.ns5	2	17	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	24.0	1.2	0.8	extracellular neuronal recordings
50	50.0	30000	uV	chan50	../../../sourcedata/l101210-001.ns5	2	18	1000	0	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	56.0	2.0	2.0	extracellular neuronal recordings
51	51.0	30000	uV	chan51	../../../sourcedata/l101210-001.ns5	2	19	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	35.0	1.6	1.2	extracellular neuronal recordings
52	52.0	30000	uV	chan52	../../../sourcedata/l101210-001.ns5	2	20	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	47.0	2.4	1.6	extracellular neuronal recordings
53	53.0	30000	uV	chan53	../../../sourcedata/l101210-001.ns5	2	21	1000	0	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	25.0	1.6	0.8	extracellular neuronal recordings
54	54.0	30000	uV	chan54	../../../sourcedata/l101210-001.ns5	2	22	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	57.0	2.4	2.0	extracellular neuronal recordings
55	55.0	30000	uV	chan55	../../../sourcedata/l101210-001.ns5	2	23	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	26.0	2.0	0.8	extracellular neuronal recordings
56	56.0	30000	uV	chan56	../../../sourcedata/l101210-001.ns5	2	24	1000	3	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	36.0	2.0	1.2	extracellular neuronal recordings
57	57.0	30000	uV	chan57	../../../sourcedata/l101210-001.ns5	2	25	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	27.0	2.4	0.8	extracellular neuronal recordings
58	58.0	30000	uV	chan58	../../../sourcedata/l101210-001.ns5	2	26	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	37.0	2.4	1.2	extracellular neuronal recordings
59	59.0	30000	uV	chan59	../../../sourcedata/l101210-001.ns5	2	27	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	28.0	2.8	0.8	extracellular neuronal recordings
60	60.0	30000	uV	chan60	../../../sourcedata/l101210-001.ns5	2	28	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	38.0	2.8	1.2	extracellular neuronal recordings
61	61.0	30000	uV	chan61	../../../sourcedata/l101210-001.ns5	2	29	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	29.0	3.2	0.8	extracellular neuronal recordings
62	62.0	30000	uV	chan62	../../../sourcedata/l101210-001.ns5	2	30	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	48.0	2.8	1.6	extracellular neuronal recordings
63	63.0	30000	uV	chan63	../../../sourcedata/l101210-001.ns5	2	31	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	19.0	3.2	0.4	extracellular neuronal recordings
64	64.0	30000	uV	chan64	../../../sourcedata/l101210-001.ns5	2	32	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	39.0	3.2	1.2	extracellular neuronal recordings
65	65.0	30000	uV	chan65	../../../sourcedata/l101210-001.ns5	3	1	1000	0	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	81.0	0.0	3.2	extracellular neuronal recordings
66	66.0	30000	uV	chan66	../../../sourcedata/l101210-001.ns5	3	2	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	82.0	0.4	3.2	extracellular neuronal recordings
67	67.0	30000	uV	chan67	../../../sourcedata/l101210-001.ns5	3	3	1000	0	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	71.0	0.0	2.8	extracellular neuronal recordings
68	68.0	30000	uV	chan68	../../../sourcedata/l101210-001.ns5	3	4	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	72.0	0.4	2.8	extracellular neuronal recordings
69	69.0	30000	uV	chan69	../../../sourcedata/l101210-001.ns5	3	5	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	61.0	0.0	2.4	extracellular neuronal recordings
70	70.0	30000	uV	chan70	../../../sourcedata/l101210-001.ns5	3	6	1000	3	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	62.0	0.4	2.4	extracellular neuronal recordings
71	71.0	30000	uV	chan71	../../../sourcedata/l101210-001.ns5	3	7	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	51.0	0.0	2.0	extracellular neuronal recordings
