channel_id	contact_id	stream_id	sampling_frequency	units	channel_name	file_origin	connector_id	connector_pin_id	nev_dig_factor	nb_sorted_units	nev_hi_freq_order	nev_hi_freq_type	nev_lo_freq_order	nev_lo_freq_type	nsx_hi_freq_order	nsx_lo_freq_order	nsx_hi_freq_type	nsx_lo_freq_type	nsx	hi_pass_freq	lo_pass_freq	hi_pass_order	lo_pass_order	filter_type	electrode_reject_LFC	electrode_reject_IFC	Unnamed: 27	connector_aligned_id	coordinates_x	coordinates_y	channel_type
32	33.0	1	1000	uV	chan33	../../../sourcedata/i140703-001.ns2	2	1	250	3	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	83.0	0.8	3.2	extracellular neuronal recordings
33	34.0	1	1000	uV	chan34	../../../sourcedata/i140703-001.ns2	2	2	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	84.0	1.2	3.2	extracellular neuronal recordings
34	35.0	1	1000	uV	chan35	../../../sourcedata/i140703-001.ns2	2	3	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	73.0	0.8	2.8	extracellular neuronal recordings
35	36.0	1	1000	uV	chan36	../../../sourcedata/i140703-001.ns2	2	4	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	74.0	1.2	2.8	extracellular neuronal recordings
36	37.0	1	1000	uV	chan37	../../../sourcedata/i140703-001.ns2	2	5	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	63.0	0.8	2.4	extracellular neuronal recordings
37	38.0	1	1000	uV	chan38	../../../sourcedata/i140703-001.ns2	2	6	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	True	False	64.0	1.2	2.4	extracellular neuronal recordings
38	39.0	1	1000	uV	chan39	../../../sourcedata/i140703-001.ns2	2	7	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	53.0	0.8	2.0	extracellular neuronal recordings
39	40.0	1	1000	uV	chan40	../../../sourcedata/i140703-001.ns2	2	8	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	54.0	1.2	2.0	extracellular neuronal recordings
40	41.0	1	1000	uV	chan41	../../../sourcedata/i140703-001.ns2	2	9	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	43.0	0.8	1.6	extracellular neuronal recordings
41	42.0	1	1000	uV	chan42	../../../sourcedata/i140703-001.ns2	2	10	250	3	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	55.0	1.6	2.0	extracellular neuronal recordings
42	43.0	1	1000	uV	chan43	../../../sourcedata/i140703-001.ns2	2	11	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	44.0	1.2	1.6	extracellular neuronal recordings
43	44.0	1	1000	uV	chan44	../../../sourcedata/i140703-001.ns2	2	12	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	45.0	1.6	1.6	extracellular neuronal recordings
44	45.0	1	1000	uV	chan45	../../../sourcedata/i140703-001.ns2	2	13	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	True	True	33.0	0.8	1.2	extracellular neuronal recordings
45	46.0	1	1000	uV	chan46	../../../sourcedata/i140703-001.ns2	2	14	250	3	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	True	False	46.0	2.0	1.6	extracellular neuronal recordings
46	47.0	1	1000	uV	chan47	../../../sourcedata/i140703-001.ns2	2	15	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	34.0	1.2	1.2	extracellular neuronal recordings
47	48.0	1	1000	uV	chan48	../../../sourcedata/i140703-001.ns2	2	16	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	65.0	1.6	2.4	extracellular neuronal recordings
48	49.0	1	1000	uV	chan49	../../../sourcedata/i140703-001.ns2	2	17	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	24.0	1.2	0.8	extracellular neuronal recordings
49	50.0	1	1000	uV	chan50	../../../sourcedata/i140703-001.ns2	2	18	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	56.0	2.0	2.0	extracellular neuronal recordings
50	51.0	1	1000	uV	chan51	../../../sourcedata/i140703-001.ns2	2	19	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	35.0	1.6	1.2	extracellular neuronal recordings
51	52.0	1	1000	uV	chan52	../../../sourcedata/i140703-001.ns2	2	20	250	3	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	47.0	2.4	1.6	extracellular neuronal recordings
52	53.0	1	1000	uV	chan53	../../../sourcedata/i140703-001.ns2	2	21	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	True	False	25.0	1.6	0.8	extracellular neuronal recordings
53	54.0	1	1000	uV	chan54	../../../sourcedata/i140703-001.ns2	2	22	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	57.0	2.4	2.0	extracellular neuronal recordings
54	55.0	1	1000	uV	chan55	../../../sourcedata/i140703-001.ns2	2	23	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	26.0	2.0	0.8	extracellular neuronal recordings
55	56.0	1	1000	uV	chan56	../../../sourcedata/i140703-001.ns2	2	24	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	36.0	2.0	1.2	extracellular neuronal recordings
56	57.0	1	1000	uV	chan57	../../../sourcedata/i140703-001.ns2	2	25	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	27.0	2.4	0.8	extracellular neuronal recordings
57	58.0	1	1000	uV	chan58	../../../sourcedata/i140703-001.ns2	2	26	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	37.0	2.4	1.2	extracellular neuronal recordings
58	59.0	1	1000	uV	chan59	../../../sourcedata/i140703-001.ns2	2	27	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	28.0	2.8	0.8	extracellular neuronal recordings
59	60.0	1	1000	uV	chan60	../../../sourcedata/i140703-001.ns2	2	28	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	38.0	2.8	1.2	extracellular neuronal recordings
